2017-01-18 16:14:00.887 | INFO | HHH000261: Table found: wetech_cms.t_group_channel | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.887 | INFO | HHH000037: Columns: [g_id, c_id, id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.887 | INFO | HHH000108: Foreign keys: [fkb7d322b8ef562c89, fkb7d322b8d80ab7d1] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.888 | INFO | HHH000126: Indexes: [fkb7d322b8ef562c89, primary, fkb7d322b8d80ab7d1] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.901 | INFO | HHH000261: Table found: wetech_cms.t_index_pic | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.901 | INFO | HHH000037: Columns: [link_type, sub_title, old_name, pos, thumbnail_pic, link_url, id, pic, create_date, title, status, new_name] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.901 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.902 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.913 | INFO | HHH000261: Table found: wetech_cms.t_keyword | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.914 | INFO | HHH000037: Columns: [name_short_py, times, name, id, name_full_py] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.914 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.914 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.929 | INFO | HHH000261: Table found: wetech_cms.t_role | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.930 | INFO | HHH000037: Columns: [role_type, name, id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.930 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.930 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.944 | INFO | HHH000261: Table found: wetech_cms.t_topic | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.944 | INFO | HHH000037: Columns: [summary, thumb, author, cname, channel_pic_id, recommend, title, content, uid, id, create_date, keyword, publish_date, status, cid] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.944 | INFO | HHH000108: Foreign keys: [fka10609a452119f24, fka10609a4d7ddc618] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.944 | INFO | HHH000126: Indexes: [fka10609a452119f24, fka10609a4d7ddc618, primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.957 | INFO | HHH000261: Table found: wetech_cms.t_user | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:00.957 | INFO | HHH000037: Columns: [password, phone, nickname, id, create_date, email, status, username] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:00.957 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:00.958 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:00.970 | INFO | HHH000261: Table found: wetech_cms.t_user_group | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
